time,AX,AY,AZ,GX,GY,GZ
100.980372,-2488.000000,-6744.000000,18272.000000,-1548.000000,-1030.000000,637.000000
101.136624,-1752.000000,-640.000000,7952.000000,-24336.000000,-14740.000000,18527.000000
101.368188,244.000000,-12040.000000,1824.000000,-32768.000000,-29243.000000,-800.000000
101.570470,-1700.000000,-5960.000000,-14232.000000,-14782.000000,-12646.000000,5420.000000
101.746061,-4972.000000,-6428.000000,-14768.000000,-11045.000000,-9763.000000,653.000000
101.976130,-9164.000000,-6768.000000,-13524.000000,-1225.000000,1564.000000,1434.000000
102.183236,-8552.000000,-4072.000000,-12928.000000,346.000000,-2188.000000,534.000000
102.369759,-8108.000000,-4668.000000,-11220.000000,-925.000000,-939.000000,-1021.000000
102.576736,-8136.000000,-5120.000000,-11088.000000,-348.000000,-691.000000,-45.000000
102.753769,-7996.000000,-4572.000000,-10880.000000,-207.000000,543.000000,481.000000
102.974128,-8148.000000,-4344.000000,-11196.000000,-713.000000,651.000000,85.000000
103.189319,-8500.000000,-4636.000000,-12084.000000,-408.000000,672.000000,397.000000
103.366961,-8204.000000,-4148.000000,-12132.000000,179.000000,-442.000000,-146.000000
103.591898,-8368.000000,-4492.000000,-11940.000000,-822.000000,-144.000000,-28.000000
103.764297,-9708.000000,-7248.000000,-14280.000000,4976.000000,-397.000000,-3465.000000
103.990045,-5660.000000,-11252.000000,-18592.000000,32767.000000,6090.000000,-19455.000000
104.195438,-5188.000000,-13624.000000,3648.000000,29600.000000,32767.000000,-17922.000000
